train_name,train_type,status,confidence,matched_by,sample_train_no,train_count,row_count,data_quality_flags
CK6,EMU,REVIEW,0.750,NUMBER_RANGE,97116,1,15,{COACH_CODE_AS_NAME}
CK7,EMU,REVIEW,0.750,NUMBER_RANGE,97007,1,14,{COACH_CODE_AS_NAME}
CK8,EMU,REVIEW,0.750,NUMBER_RANGE,97140,1,15,{COACH_CODE_AS_NAME}
CK9,EMU,REVIEW,0.750,NUMBER_RANGE,97009,1,14,{COACH_CODE_AS_NAME}
CKP GMO PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,68018,1,39,{LIKELY_TRUNCATED}
CKP TATA PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,68010,1,9,{LIKELY_TRUNCATED}
CKP-ADRA-HWH,PASSENGER,REVIEW,0.600,NUMBER_RANGE,58012,1,45,{LIKELY_TRUNCATED}
CKP-BBN EXPR,EXPRESS,REVIEW,0.650,NUMBER_RANGE,18403,1,6,{LIKELY_TRUNCATED}
CKP-ROU SARA,PASSENGER,REVIEW,0.600,NUMBER_RANGE,78101,1,15,{LIKELY_TRUNCATED}
CKU - TATA P,PASSENGER,REVIEW,0.600,NUMBER_RANGE,58031,1,9,{LIKELY_TRUNCATED}
CLR-MRJ PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,51406,1,24,{LIKELY_TRUNCATED}
CLT - T VC J,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12075,1,12,{LIKELY_TRUNCATED}
CLT -SRR PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56600,1,16,{LIKELY_TRUNCATED}
CLT-CAN PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56653,2,40,{LIKELY_TRUNCATED}
CLT-TCR PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56664,1,22,{LIKELY_TRUNCATED}
CM1,EMU,REVIEW,0.750,NUMBER_RANGE,98605,1,2,{COACH_CODE_AS_NAME}
CM2,EMU,REVIEW,0.750,NUMBER_RANGE,98604,1,2,{COACH_CODE_AS_NAME}
CMGR-YPR FAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56277,1,20,{LIKELY_TRUNCATED}
CMNR-MYS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56207,1,13,{ROUTE_CODE_STYLE}
CMNR-MYS PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56201,3,39,{LIKELY_TRUNCATED}
CMNR-SBC FAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56281,1,27,{LIKELY_TRUNCATED}
CNB - BLM PA,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54336,1,20,{LIKELY_TRUNCATED}
CNB - DURG B,EXPRESS,REVIEW,0.650,NUMBER_RANGE,18204,1,21,{LIKELY_TRUNCATED}
CNB ASR SUPE,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22445,1,14,{LIKELY_TRUNCATED}
CNB FBD PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54155,1,27,{LIKELY_TRUNCATED}
CNB NDLS SHT,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12033,1,5,{LIKELY_TRUNCATED}
CNB SPC BLM,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54325,1,30,{}
CNB-ALD,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64592,1,31,{ROUTE_CODE_STYLE}
CNB-ALD-INTE,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22442,1,9,{LIKELY_TRUNCATED}
CNB-ANVT-EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,14151,1,13,{LIKELY_TRUNCATED}
CNB-BBK MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64236,1,17,{LIKELY_TRUNCATED}
CNB-BDTS EXP,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22443,1,22,{LIKELY_TRUNCATED}
CNB-CKTD EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,14110,1,12,{LIKELY_TRUNCATED}
CNB-ETW MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64153,1,16,{LIKELY_TRUNCATED}
CNB-FBD PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,55327,1,27,{LIKELY_TRUNCATED}
CNB-FTP MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64594,1,13,{LIKELY_TRUNCATED}
CNB-FTP-PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54152,1,13,{LIKELY_TRUNCATED}
CNB-JAT EXPR,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12469,1,14,{LIKELY_TRUNCATED}
CNB-JHS-PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,51804,1,26,{LIKELY_TRUNCATED}
CNB-KGM GARI,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12209,1,12,{LIKELY_TRUNCATED}
CNB-KSJ-EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,15037,1,20,{ROUTE_CODE_STYLE}
CNB-KURJ-PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54162,1,28,{LIKELY_TRUNCATED}
CNB-LJN MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64252,2,26,{LIKELY_TRUNCATED}
CNB-LKO MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64202,6,78,{LIKELY_TRUNCATED}
CNB-LTT EXPR,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12174,1,13,{LIKELY_TRUNCATED}
CNB-PHD MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64159,2,22,{LIKELY_TRUNCATED}
CNB-PNK MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64163,1,3,{LIKELY_TRUNCATED}
CNB-PRG EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,14102,1,13,{ROUTE_CODE_STYLE}
CNB-TDL MEMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,64587,1,29,{LIKELY_TRUNCATED}
CNB-UCR-RBL,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54154,1,27,{ROUTE_CODE_STYLE}
COA PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,57231,1,27,{}
COA-BVC EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,17204,1,32,{ROUTE_CODE_STYLE}
COA-BZA-GNT,PASSENGER,REVIEW,0.600,NUMBER_RANGE,57232,1,27,{ROUTE_CODE_STYLE}
